conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent,label
12.71,16.64,0.2,5.47,2.37,True
25.37,10.65,0.05,18.38,1.35,True
12.7,12.01,0.15,7.5,2.38,True
12.7,12.01,0.15,7.5,2.38,True
25.91,10.83,0.08,8.43,1.39,True
15.47,13.04,0.19,9.84,2.37,True
25.91,10.83,0.08,8.43,1.39,True
25.58,9.37,0.07,12.56,1.58,True
15.67,16.44,0.24,3.85,2.37,True
15.75,18.18,0.23,7.07,2.4,True
15.67,16.44,0.24,3.85,2.37,True
16.43,17.62,0.25,10.06,2.39,True
16.38,16.44,0.26,10.06,2.36,True
16.25,15.86,0.03,4.55,1.49,True
16.17,18.37,0.23,13.05,2.38,True
16.16,18.18,0.24,13.05,2.38,True
15.99,14.38,0.23,1.66,2.34,True
15.53,7.73,0.22,5.11,2.39,True
10.24,16.24,0.16,17.1,2.34,True
10.25,16.44,0.16,17.1,2.34,True
9.57,0.09,0.06,23.67,2.36,True
10.31,18.18,0.15,16.74,2.34,True
9.58,16.24,0.15,20.01,2.32,True
9.28,10.38,0.12,8.64,2.38,True
9.65,18.18,0.14,19.92,2.33,True
9.82,16.65,0.02,4.83,1.42,True
9.48,14.18,0.14,3.8,2.38,True
9.59,16.64,0.15,20.01,2.32,True
9.83,16.82,0.01,6.25,1.42,True
9.49,14.38,0.14,3.8,2.38,True
9.73,11.79,0.06,4.81,1.72,True
9.69,0.09,0.05,24.35,2.36,True
9.39,18.37,0.14,22.73,2.3,True
9.38,18.18,0.14,22.73,2.3,True
9.15,12.87,0.12,7.47,2.37,True
9.11,12.17,0.12,7.47,2.37,True
9.38,18.18,0.14,22.73,2.3,True
9.36,17.62,0.14,24.17,2.27,True
9.36,17.81,0.14,24.17,2.29,True
9.34,17.04,0.15,24.17,2.27,True
9.36,17.81,0.14,24.17,2.29,True
9.39,18.37,0.14,24.17,2.28,True
9.38,18.37,0.14,25.9,2.25,True
9.37,18.18,0.14,25.9,2.25,True
9.38,18.37,0.14,25.9,2.25,True
8.86,8.12,0.13,17.44,2.31,True
9.38,18.37,0.14,25.9,2.25,True
9.16,13.22,0.12,10.46,2.33,True
11.94,18.37,0.18,25.77,2.19,True
11.86,16.44,0.19,25.82,2.19,True
11.94,18.37,0.18,25.77,2.19,True
11.94,18.37,0.18,25.77,2.19,True
11.91,16.63,0.02,2.26,1.4,True
13.17,18.18,0.2,24.66,2.15,True
13.16,17.81,0.2,24.66,2.15,True
13.17,18.37,0.2,24.66,2.15,True
13.17,18.37,0.2,24.66,2.15,True
13.3,18.56,0.2,21.25,2.11,True
13.29,18.75,0.2,21.25,2.11,True
12.57,15.69,0.05,2.19,0.79,True
13.31,17.81,0.21,21.86,2.11,True
13.29,17.81,0.21,17.01,2.12,True
13.29,18.37,0.2,17.01,2.12,True
13.29,18.37,0.2,17.01,2.12,True
13.29,18.37,0.2,17.01,2.12,True
12.95,1.53,0.18,21.48,2.33,True
13.26,20.07,0.21,17.79,2.14,True
12.26,18.37,0.19,14.31,2.17,True
12.25,18.56,0.19,13.35,2.24,True
12.17,12.35,0.18,17.17,2.1,True
12.25,18.37,0.19,13.35,2.24,True
13.7,18.37,0.21,15.62,2.32,True
13.7,18.37,0.21,15.62,2.32,True
13.7,18.37,0.21,15.62,2.32,True
17.62,0.09,0.09,55.55,2.19,True
17.62,0.09,0.09,55.55,2.19,True
17.62,0.09,0.09,55.55,2.19,True
17.66,0.61,0.1,45.06,2.2,True
18.69,16.82,0.04,-0.57,1.62,True
13.71,18.37,0.21,21.53,2.38,True
17.9,4.14,0.2,51.92,2.41,True
13.71,18.0,0.22,21.1,2.38,True
17.64,0.09,0.09,36.61,2.17,True
17.64,0.09,0.09,36.61,2.17,True
17.94,4.63,0.16,51.92,2.37,True
18.34,11.61,0.22,26.08,2.29,True
13.71,18.37,0.21,21.53,2.38,True
17.65,0.26,0.09,36.61,2.17,True
17.66,0.44,0.09,36.61,2.17,True
18.55,14.7,0.3,20.68,2.29,True
13.46,18.75,0.21,26.13,2.39,True
18.18,0.1,0.25,29.83,2.15,True
13.49,20.07,0.21,24.57,2.38,True
18.25,0.09,0.09,24.69,2.14,True
18.28,0.96,0.07,24.69,2.14,True
13.47,20.93,0.18,34.46,2.41,True
12.22,0.09,0.13,19.78,2.13,True
13.38,18.0,0.22,31.55,2.43,True
13.38,18.18,0.22,31.55,2.43,True
12.07,4.14,0.16,36.28,2.36,True
12.24,0.44,0.13,23.34,2.18,True
12.4,5.6,0.14,15.71,2.06,True
13.23,0.61,0.14,37.49,2.32,True
13.2,0.96,0.14,40.53,2.33,True
13.22,0.79,0.14,40.53,2.33,True
13.23,0.61,0.14,37.49,2.32,True
13.65,0.79,0.15,39.45,2.32,True
13.65,0.79,0.15,39.45,2.32,True
12.33,11.97,0.21,27.51,2.52,True
11.75,16.05,0.21,22.2,2.59,True
13.38,4.14,0.17,39.62,2.36,True
11.65,16.63,0.21,24.23,2.6,True
11.68,16.44,0.21,24.23,2.6,True
13.58,27.18,0.24,21.13,2.56,True
12.28,12.53,0.21,23.19,2.57,True
13.36,12.53,0.23,26.08,2.57,True
14.37,21.49,0.25,17.12,2.58,True
14.47,15.48,0.24,20.33,2.57,True
13.68,16.44,0.25,31.11,2.55,True
13.64,16.44,0.25,33.88,2.53,True
13.64,16.44,0.25,33.88,2.53,True
13.61,17.2,0.18,39.72,2.33,True
11.71,2.26,0.13,35.74,2.2,True
13.12,11.44,0.19,24.88,2.54,True
13.12,11.44,0.19,24.88,2.54,True
16.38,6.2,0.08,17.08,2.02,True
14.25,15.12,0.25,20.83,2.14,True
13.9,21.45,0.21,31.08,2.4,True
8.24,16.82,0.13,39.27,2.12,True
9.85,27.42,0.18,29.97,2.39,True
6.86,0.44,0.08,57.24,2.48,True
6.8,0.1,0.07,57.24,2.48,True
6.8,0.1,0.07,57.24,2.48,True
6.8,0.1,0.07,57.24,2.48,True
7.79,0.26,0.07,62.02,2.47,True
12.33,27.37,0.23,36.63,2.39,True
12.38,26.99,0.23,36.63,2.44,True
7.79,0.1,0.1,70.98,2.47,True
